algorithm,input_type,n,trial,time_ns,time_ms,max_depth,comparisons,swaps,allocations,recursive_calls
DeterministicSelect,DUPLICATE_HEAVY,5000,1,33333,0.0333,6,18911,10510,10,6
DeterministicSelect,DUPLICATE_HEAVY,5000,2,28500,0.0285,6,18911,10510,10,6
DeterministicSelect,DUPLICATE_HEAVY,5000,3,26667,0.0267,6,18911,10510,10,6
DeterministicSelect,DUPLICATE_HEAVY,5000,4,25000,0.0250,6,18911,10510,10,6
DeterministicSelect,DUPLICATE_HEAVY,5000,5,26500,0.0265,6,18911,10510,10,6
DeterministicSelect,DUPLICATE_HEAVY,10000,1,118042,0.1180,6,42911,25490,24,13
DeterministicSelect,DUPLICATE_HEAVY,10000,2,139958,0.1400,6,42911,25490,24,13
DeterministicSelect,DUPLICATE_HEAVY,10000,3,132666,0.1327,6,42911,25490,24,13
DeterministicSelect,DUPLICATE_HEAVY,10000,4,120541,0.1205,6,42911,25490,24,13
DeterministicSelect,DUPLICATE_HEAVY,10000,5,114250,0.1143,6,42911,25490,24,13
DeterministicSelect,DUPLICATE_HEAVY,50000,1,686791,0.6868,7,224756,148197,56,29
DeterministicSelect,DUPLICATE_HEAVY,50000,2,661333,0.6613,7,224756,148197,56,29
DeterministicSelect,DUPLICATE_HEAVY,50000,3,633583,0.6336,7,224756,148197,56,29
DeterministicSelect,DUPLICATE_HEAVY,50000,4,627125,0.6271,7,224756,148197,56,29
DeterministicSelect,DUPLICATE_HEAVY,50000,5,625792,0.6258,7,224756,148197,56,29
DeterministicSelect,DUPLICATE_HEAVY,100000,1,1117375,1.1174,8,395613,268286,80,41
DeterministicSelect,DUPLICATE_HEAVY,100000,2,1093167,1.0932,8,395613,268286,80,41
DeterministicSelect,DUPLICATE_HEAVY,100000,3,1078167,1.0782,8,395613,268286,80,41
DeterministicSelect,DUPLICATE_HEAVY,100000,4,1078417,1.0784,8,395613,268286,80,41
DeterministicSelect,DUPLICATE_HEAVY,100000,5,1065834,1.0658,8,395613,268286,80,41
DeterministicSelect,DUPLICATE_HEAVY,200000,1,2091875,2.0919,8,768642,527363,72,37
DeterministicSelect,DUPLICATE_HEAVY,200000,2,2097000,2.0970,8,768642,527363,72,37
DeterministicSelect,DUPLICATE_HEAVY,200000,3,2076333,2.0763,8,768642,527363,72,37
DeterministicSelect,DUPLICATE_HEAVY,200000,4,2071625,2.0716,8,768642,527363,72,37
DeterministicSelect,DUPLICATE_HEAVY,200000,5,2055958,2.0560,8,768642,527363,72,37
ClosestPair,RANDOM_POINTS,1000,1,745875,0.7459,10,22140,9205,2000,975
ClosestPair,RANDOM_POINTS,1000,2,619625,0.6196,10,22140,9205,2000,975
ClosestPair,RANDOM_POINTS,1000,3,623583,0.6236,10,22140,9205,2000,975
ClosestPair,RANDOM_POINTS,1000,4,602292,0.6023,10,22140,9205,2000,975
ClosestPair,RANDOM_POINTS,1000,5,543292,0.5433,10,22140,9205,2000,975
ClosestPairBruteForce,RANDOM_POINTS,1000,1,6095292,6.0953,0,499500,0,0,0
ClosestPair,RANDOM_POINTS,5000,1,4664541,4.6645,12,135090,56952,10000,4095
ClosestPair,RANDOM_POINTS,5000,2,4478458,4.4785,12,135090,56952,10000,4095
ClosestPair,RANDOM_POINTS,5000,3,4581334,4.5813,12,135090,56952,10000,4095
ClosestPair,RANDOM_POINTS,5000,4,4514708,4.5147,12,135090,56952,10000,4095
ClosestPair,RANDOM_POINTS,5000,5,4523042,4.5230,12,135090,56952,10000,4095
ClosestPair,RANDOM_POINTS,10000,1,4686709,4.6867,13,293353,123827,20000,8191
ClosestPair,RANDOM_POINTS,10000,2,4789209,4.7892,13,293353,123827,20000,8191
ClosestPair,RANDOM_POINTS,10000,3,4999041,4.9990,13,293353,123827,20000,8191
ClosestPair,RANDOM_POINTS,10000,4,5416708,5.4167,13,293353,123827,20000,8191
ClosestPair,RANDOM_POINTS,10000,5,4842167,4.8422,13,293353,123827,20000,8191
ClosestPair,RANDOM_POINTS,50000,1,36404916,36.4049,16,1717723,727555,100000,34463
ClosestPair,RANDOM_POINTS,50000,2,27993417,27.9934,16,1717723,727555,100000,34463
ClosestPair,RANDOM_POINTS,50000,3,36112458,36.1125,16,1717723,727555,100000,34463
ClosestPair,RANDOM_POINTS,50000,4,27829167,27.8292,16,1717723,727555,100000,34463
ClosestPair,RANDOM_POINTS,50000,5,27845667,27.8457,16,1717723,727555,100000,34463
ClosestPair,RANDOM_POINTS,100000,1,30276417,30.2764,17,3669885,1555157,200000,68927
ClosestPair,RANDOM_POINTS,100000,2,30535292,30.5353,17,3669885,1555157,200000,68927
ClosestPair,RANDOM_POINTS,100000,3,30322917,30.3229,17,3669885,1555157,200000,68927
ClosestPair,RANDOM_POINTS,100000,4,30268292,30.2683,17,3669885,1555157,200000,68927
ClosestPair,RANDOM_POINTS,100000,5,30310958,30.3110,17,3669885,1555157,200000,68927
